Category;CategoryName;CurrencyCode;DimensionDepth;DimensionHeight;DimensionUnit;DimensionWidth;LongDescription;Name;PictureUrl;Price;ProductId;QuantityUnit;ShortDescription;SupplierDetails_SupplierId;UpdatedTimestamp;Weight;WeightUnit;Picture
Flat Screen Monitors;Flat Screen Monitors;EUR;22.1000;39.1000;cm;54.5000;Optimum Hi-Resolution max. 2016 x 1512 @ 85Hz, Dot Pitch: 0.24mm;Flat XL;/ESPM/Images/HT-1037.jpg;1230.000;HT-1037;EA;Optimum Hi-Resolution max. 2016 x 1512 @ 85Hz, Dot Pitch: 0.24mm;;;17.000;KG;
PDAs;PDAs;EUR;1.6000;13.0000;cm;80.0000;64 GB Digital Assistant with high-resolution color screen and synthesized voice output;Comfort Senior;/ESPM/Images/HT-1023.jpg;512.000;HT-1023;EA;64 GB Digital Assistant with high-resolution color screen and synthesized voice output;;;0.800;KG;
Keyboards;Keyboards;EUR;21.0000;3.5000;cm;50.0000;Ergonomic USB Keyboard for Desktop, Plug;Ergonomic Keyboard;/ESPM/Images/HT-1063.jpg;14.000;HT-1063;EA;Ergonomic USB Keyboard for Desktop, Plug;;;2.100;KG;
Keyboards;Keyboards;EUR;25.0000;3.0000;cm;52.0000;Corded Keyboard with special keys for Internet Usability, USB;Internet Keyboard;/ESPM/Images/HT-1064.jpg;16.000;HT-1064;EA;Corded Keyboard with special keys for Internet Usability, USB;;;1.800;KG;
PCs;PCs;EUR;31.7000;40.2000;cm;25.0000;2,8 Ghz dual core, 4 GB DDR3 SDRAM, 1000 GB Hard Disc, Graphic Card: Gladiator MX, Windows 8;Family PC Pro;/ESPM/Images/HT-1601.jpg;900.000;HT-1601;EA;2,8 Ghz dual core, 4 GB DDR3 SDRAM, 1000 GB Hard Disc, Graphic Card: Gladiator MX, Windows 8;;;5.300;KG;
Tablets;Tablets;EUR;31.0000;4.5000;cm;48.0000;10.5-inch Multitouch HD Screen (1280 x 800), 16GB Internal Memory, Wireless N Wi-Fi, Bluetooth, GPS Enabled, 1GHz Dual-Core Processor;Cepat Tablet 10.5;/ESPM/Images/HT-1257-DIAGONAL.jpg;549.000;HT-1257;EA;10.5-inch Multitouch HD Screen (1280 x 800), 16GB Internal Memory, Wireless N Wi-Fi, Bluetooth, GPS Enabled, 1GHz Dual-Core Processor;;;2.800;KG;
Notebooks;Notebooks;EUR;21.0000;4.0000;cm;32.0000;Notebook Basic 19 with 2,80 GHz quad core, 19" LCD, 8 GB DDR3 RAM, 1000 GB Hard Disc, Windows 8 Pro;Notebook Basic 19;/ESPM/Images/HT-1003.jpg;1650.000;HT-1003;EA;Notebook Basic 19 with 2,80 GHz quad core, 19" LCD, 8 GB DDR3 RAM, 1000 GB Hard Disc, Windows 8 Pro;;;4.200;KG;
Tablets;Tablets;EUR;31.0000;4.5000;cm;48.0000;10.1-inch Multitouch HD Screen (1280 x 800), 16GB Internal Memory, Wireless N Wi-Fi, Bluetooth, GPS Enabled, 1GHz Dual-Core Processor;Maxi Tablet;/ESPM/Images/HT-9999.jpg;749.000;HT-9999;EA;10.1-inch Multitouch HD Screen (1280 x 800), 16GB Internal Memory, Wireless N Wi-Fi, Bluetooth, GPS Enabled, 1GHz Dual-Core Processor;;;3.800;KG;
PDAs;PDAs;EUR;1.7000;18.0000;cm;11.0000;Digital Organizer with State-of-the-Art Encryption for Storage and Secure Stellite Link;ITelO Vault SAT;/ESPM/Images/HT-1021.jpg;149.000;HT-1021;EA;Digital Organizer with State-of-the-Art Encryption for Storage and Secure Stellite Link;;;0.180;KG;
Notebooks;Notebooks;EUR;21.0000;4.1000;cm;38.0000;Notebook with 2,80 GHz quad core, 4 GB DDR3 SDRAM, 1000 GB Hard Disc, Windows 8;ITelO FlexTop I9100;/ESPM/Images/HT-8002.jpg;1199.000;HT-8002;EA;Notebook with 2,80 GHz quad core, 4 GB DDR3 SDRAM, 1000 GB Hard Disc, Windows 8;;;3.500;KG;
